nombre,marca,precio,descripcion,imagen,categoria
Adidas Camiseta,Adidas,$99.000 COP, Importados estilo urbano.,img/adidas43.png,adidas
Adidas Chaqueta,Adidas,$740.000 COP, Importados estilo urbano.,img/adidas44.png,adidas
Adidas Chaqueta,Adidas,$252.000 COP, Importados estilo urbano.,img/adidas45.jpeg,adidas
Classic Hoodie,Tommy Hilfiger,$150.000 COP,Buzo clásico importado.,img/tommy1.jpeg,tommy
Camiseta,Tommy Hilfiger,$80.000 COP,Camiseta importada.,img/tommy2.png,tommy
Camiseta,Tommy Hilfiger,$80.000 COP,Camiseta importada.,img/tommy3.png,tommy
Jean,Tommy Hilfiger,$130.000 COP,Jean importado.,img/tommy4.png,tommy
Mountain Vest,The North Face,$389.000 COP,Chaleco outdoor premium.,img/products/product4.jpg,north-face
Buzo Columbia,Columbia,$150.000 COP,Buzo Clasico para clima frío.,img/columbia4.jpeg,columbia
Buzo Columbia,Columbia,$160.000 COP,Buzo Clasico para clima frío.,img/columbia5.jpeg,columbia
Chaqueta Columbia,Columbia,$205.000 COP,Chaqueta para clima frío.,img/columbia6.jpeg,columbia
Chaqueta Columbia,Columbia,$295.000 COP,Chaqueta para clima frío.,img/columbia9.jpeg,columbia
Chaqueta Columbia,Columbia,$280.000 COP,Chaqueta.,img/columbia7.jpeg,columbia
Chaqueta Columbia,Columbia,$200.000 COP,Chaqueta para clima frío.,img/columbia2.jpeg,columbia
Chaqueta Columbia,Columbia,$240.000 COP,Chaqueta para clima frío.,img/columbia8.jpeg,columbia
Chaqueta Columbia,Columbia,$460.000 COP,Chaqueta para clima frío.,img/columbia3.jpeg,columbia
Puma,Otras Marcas,$95.000 COP,Producto disponible bajo pedido.,img/puma1.jpeg,otras
Puma,Otras Marcas,$95.000 COP,Producto disponible bajo pedido.,img/puma2.jpeg,otras
Magnesio,Marca Natural Calm,$170.000 COP,"Magnesio, producto disponible bajo pedido.",img/otras1.jpeg,otras
Centrum Women,Marca Centrum,$125.000 COP,"Centrum Womer, producto disponible bajo pedido.",img/otras2.jpeg,otras
Tenis puma,Puma,$175.000 COP,"Tenis, producto disponible bajo pedido.",img/otras3.jpeg,otras
Reebook Tenis,Marca Reebook,$199.000 COP,"Tenis producto disponible bajo pedido.",img/otras4.jpeg,otras
